orb_time,rr,sl_mode,filter_set,trades,wins,losses,wr,total_r,avg_r
1800,1.0,HALF,MAX_STOP_100_TP_CAP_150,489,262,227,53.578732106339466,35.0,0.07157464212678936
1800,1.0,FULL,BASELINE,496,336,160,67.74193548387096,176.0,0.3548387096774194
1800,1.0,FULL,MAX_STOP_100,486,328,158,67.48971193415639,170.0,0.3497942386831276
1800,1.0,FULL,MAX_STOP_100_TP_CAP_150,486,328,158,67.48971193415639,170.0,0.3497942386831276
1800,1.5,HALF,BASELINE,499,234,265,46.893787575150306,86.0,0.17234468937875752
1800,1.5,HALF,MAX_STOP_100,489,228,261,46.62576687116564,81.0,0.1656441717791411
1800,1.5,HALF,MAX_STOP_100_TP_CAP_150,489,228,261,46.62576687116564,81.0,0.1656441717791411
1800,1.5,FULL,BASELINE,493,273,220,55.375253549695735,189.5,0.3843813387423935
1800,1.5,FULL,MAX_STOP_100,484,268,216,55.371900826446286,186.0,0.384297520661157
1800,1.5,FULL,MAX_STOP_100_TP_CAP_150,484,268,216,55.371900826446286,186.0,0.384297520661157
1800,2.0,HALF,BASELINE,498,200,298,40.16064257028113,102.0,0.20481927710843373
1800,2.0,HALF,MAX_STOP_100,488,194,294,39.75409836065574,94.0,0.19262295081967212
1800,2.0,HALF,MAX_STOP_100_TP_CAP_150,488,194,294,39.75409836065574,94.0,0.19262295081967212
1800,2.0,FULL,BASELINE,491,228,263,46.435845213849284,193.0,0.39307535641547864
1800,2.0,FULL,MAX_STOP_100,482,223,259,46.2655601659751,187.0,0.3879668049792531
1800,2.0,FULL,MAX_STOP_100_TP_CAP_150,482,223,259,46.2655601659751,187.0,0.3879668049792531
1800,2.5,HALF,BASELINE,498,172,326,34.53815261044177,104.0,0.20883534136546184
1800,2.5,HALF,MAX_STOP_100,488,168,320,34.42622950819672,100.0,0.20491803278688525
1800,2.5,HALF,MAX_STOP_100_TP_CAP_150,488,168,320,34.42622950819672,100.0,0.20491803278688525
1800,2.5,FULL,BASELINE,486,188,298,38.68312757201646,172.0,0.35390946502057613
1800,2.5,FULL,MAX_STOP_100,478,184,294,38.49372384937239,166.0,0.3472803347280335
1800,2.5,FULL,MAX_STOP_100_TP_CAP_150,478,184,294,38.49372384937239,166.0,0.3472803347280335
1800,3.0,HALF,BASELINE,497,153,344,30.784708249496983,115.0,0.23138832997987926
1800,3.0,HALF,MAX_STOP_100,487,149,338,30.59548254620123,109.0,0.22381930184804927
1800,3.0,HALF,MAX_STOP_100_TP_CAP_150,487,149,338,30.59548254620123,109.0,0.22381930184804927
1800,3.0,FULL,BASELINE,477,157,320,32.914046121593294,151.0,0.3165618448637317
1800,3.0,FULL,MAX_STOP_100,471,155,316,32.90870488322717,149.0,0.31634819532908703
1800,3.0,FULL,MAX_STOP_100_TP_CAP_150,471,155,316,32.90870488322717,149.0,0.31634819532908703
1800,3.5,HALF,BASELINE,497,135,362,27.16297786720322,110.5,0.22233400402414488
1800,3.5,HALF,MAX_STOP_100,487,131,356,26.899383983572893,102.5,0.2104722792607803
1800,3.5,HALF,MAX_STOP_100_TP_CAP_150,487,131,356,26.899383983572893,102.5,0.2104722792607803
1800,3.5,FULL,BASELINE,467,132,335,28.26552462526767,127.0,0.27194860813704497
1800,3.5,FULL,MAX_STOP_100,461,130,331,28.199566160520607,124.0,0.26898047722342733
1800,3.5,FULL,MAX_STOP_100_TP_CAP_150,461,130,331,28.199566160520607,124.0,0.26898047722342733
1800,4.0,HALF,BASELINE,496,121,375,24.39516129032258,109.0,0.21975806451612903
1800,4.0,HALF,MAX_STOP_100,486,117,369,24.074074074074073,99.0,0.2037037037037037
1800,4.0,HALF,MAX_STOP_100_TP_CAP_150,486,117,369,24.074074074074073,99.0,0.2037037037037037
1800,4.0,FULL,BASELINE,450,104,346,23.11111111111111,70.0,0.15555555555555556
1800,4.0,FULL,MAX_STOP_100,445,103,342,23.146067415730336,70.0,0.15730337078651685
1800,4.0,FULL,MAX_STOP_100_TP_CAP_150,445,103,342,23.146067415730336,70.0,0.15730337078651685
2300,1.0,HALF,BASELINE,497,316,181,63.581488933601605,135.0,0.2716297786720322
2300,1.0,HALF,MAX_STOP_100,476,300,176,63.02521008403361,124.0,0.2605042016806723
2300,1.0,HALF,MAX_STOP_100_TP_CAP_150,476,300,176,63.02521008403361,124.0,0.2605042016806723
2300,1.0,FULL,BASELINE,479,359,120,74.94780793319416,239.0,0.4989561586638831
2300,1.0,FULL,MAX_STOP_100,460,342,118,74.34782608695653,224.0,0.48695652173913045
2300,1.0,FULL,MAX_STOP_100_TP_CAP_150,460,342,118,74.34782608695653,224.0,0.48695652173913045
2300,1.5,HALF,BASELINE,495,293,202,59.1919191919192,237.5,0.4797979797979798
2300,1.5,HALF,MAX_STOP_100,474,278,196,58.64978902953587,221.0,0.46624472573839665
2300,1.5,HALF,MAX_STOP_100_TP_CAP_150,474,278,196,58.64978902953587,221.0,0.46624472573839665
2300,1.5,FULL,BASELINE,454,283,171,62.33480176211453,253.5,0.5583700440528634
2300,1.5,FULL,MAX_STOP_100,440,271,169,61.59090909090909,237.5,0.5397727272727273
2300,1.5,FULL,MAX_STOP_100_TP_CAP_150,440,271,169,61.59090909090909,237.5,0.5397727272727273
