config,filter_name,rr,sl_mode,trades,wins,losses,wr,total_r,avg_r,expectancy
ASIA_NORMAL_RR2.5_SLHALF,ASIA_NORMAL,2.5,HALF,203,69,134,33.99014778325123,38.5,0.1896551724137931,0.18965517241379304
ASIA_NORMAL_WIDE_RR2.5_SLHALF,ASIA_NORMAL_WIDE,2.5,HALF,294,95,199,32.31292517006803,38.5,0.13095238095238096,0.13095238095238104
ASIA_NORMAL_SMALL_ORB_RR3.5_SLFULL,ASIA_NORMAL_SMALL_ORB,3.5,FULL,98,30,68,30.612244897959183,37.0,0.37755102040816324,0.37755102040816324
SMALL_ORB_RR3.5_SLHALF,SMALL_ORB,3.5,HALF,175,47,128,26.857142857142858,36.5,0.20857142857142857,0.20857142857142852
ASIA_NORMAL_NY_HIGH_RR3.5_SLHALF,ASIA_NORMAL_NY_HIGH,3.5,HALF,150,41,109,27.333333333333332,34.5,0.23,0.22999999999999987
ASIA_NORMAL_WIDE_RR2.0_SLHALF,ASIA_NORMAL_WIDE,2.0,HALF,294,109,185,37.07482993197279,33.0,0.11224489795918367,0.1122448979591838
SMALL_ORB_RR3.0_SLHALF,SMALL_ORB,3.0,HALF,175,52,123,29.714285714285715,33.0,0.18857142857142858,0.18857142857142872
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR4.0_SLHALF,ASIA_NORMAL_NY_HIGH_SKIP_LOW,4.0,HALF,68,20,48,29.411764705882355,32.0,0.47058823529411764,0.47058823529411764
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR1.0_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,1.0,FULL,68,49,19,72.05882352941177,30.0,0.4411764705882353,0.44117647058823534
SMALL_ORB_RR4.0_SLHALF,SMALL_ORB,4.0,HALF,175,41,134,23.42857142857143,30.0,0.17142857142857143,0.1714285714285716
SMALL_ORB_RR2.5_SLHALF,SMALL_ORB,2.5,HALF,175,58,117,33.14285714285714,28.0,0.16,0.15999999999999992
ALL_FILTERS_RR3.0_SLFULL,ALL_FILTERS,3.0,FULL,32,15,17,46.875,28.0,0.875,0.875
ASIA_NORMAL_RR2.0_SLHALF,ASIA_NORMAL,2.0,HALF,203,77,126,37.93103448275862,28.0,0.13793103448275862,0.13793103448275856
ASIA_NORMAL_RR1.5_SLHALF,ASIA_NORMAL,1.5,HALF,203,92,111,45.320197044334975,27.0,0.1330049261083744,0.13300492610837444
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR3.5_SLHALF,ASIA_NORMAL_NY_HIGH_SKIP_LOW,3.5,HALF,68,21,47,30.88235294117647,26.5,0.3897058823529412,0.38970588235294124
ALL_FILTERS_RR2.0_SLFULL,ALL_FILTERS,2.0,FULL,32,19,13,59.375,25.0,0.78125,0.78125
ASIA_NORMAL_NY_HIGH_RR4.0_SLHALF,ASIA_NORMAL_NY_HIGH,4.0,HALF,150,35,115,23.333333333333332,25.0,0.16666666666666666,0.16666666666666652
ALL_FILTERS_RR2.5_SLFULL,ALL_FILTERS,2.5,FULL,32,16,16,50.0,24.0,0.75,0.75
ALL_FILTERS_RR4.0_SLFULL,ALL_FILTERS,4.0,FULL,32,11,21,34.375,23.0,0.71875,0.71875
ASIA_NORMAL_WIDE_RR1.0_SLHALF,ASIA_NORMAL_WIDE,1.0,HALF,294,158,136,53.74149659863946,22.0,0.07482993197278912,0.0748299319727892
ALL_FILTERS_RR1.5_SLFULL,ALL_FILTERS,1.5,FULL,32,21,11,65.625,20.5,0.640625,0.640625
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR3.0_SLHALF,ASIA_NORMAL_NY_HIGH_SKIP_LOW,3.0,HALF,68,22,46,32.35294117647059,20.0,0.29411764705882354,0.2941176470588234
NY_HIGH_DIR_RR1.0_SLHALF,NY_HIGH_DIR,1.0,HALF,360,190,170,52.77777777777778,20.0,0.05555555555555555,0.05555555555555558
ASIA_NORMAL_SMALL_ORB_RR3.5_SLHALF,ASIA_NORMAL_SMALL_ORB,3.5,HALF,98,26,72,26.53061224489796,19.0,0.19387755102040816,0.19387755102040816
ASIA_NORMAL_NY_HIGH_RR3.0_SLHALF,ASIA_NORMAL_NY_HIGH,3.0,HALF,150,42,108,28.000000000000004,18.0,0.12,0.1200000000000001
ALL_FILTERS_RR3.5_SLFULL,ALL_FILTERS,3.5,FULL,32,11,21,34.375,17.5,0.546875,0.546875
SMALL_ORB_RR2.0_SLHALF,SMALL_ORB,2.0,HALF,175,64,111,36.57142857142857,17.0,0.09714285714285714,0.09714285714285709
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR2.5_SLHALF,ASIA_NORMAL_NY_HIGH_SKIP_LOW,2.5,HALF,68,24,44,35.294117647058826,16.0,0.23529411764705882,0.235294117647059
ASIA_NORMAL_NY_HIGH_RR2.5_SLHALF,ASIA_NORMAL_NY_HIGH,2.5,HALF,150,47,103,31.333333333333336,14.5,0.09666666666666666,0.0966666666666669
ASIA_NORMAL_RR1.0_SLHALF,ASIA_NORMAL,1.0,HALF,203,108,95,53.20197044334976,13.0,0.06403940886699508,0.0640394088669951
ALL_FILTERS_RR1.0_SLFULL,ALL_FILTERS,1.0,FULL,32,22,10,68.75,12.0,0.375,0.375
ASIA_NORMAL_SMALL_ORB_RR4.0_SLHALF,ASIA_NORMAL_SMALL_ORB,4.0,HALF,98,22,76,22.448979591836736,12.0,0.12244897959183673,0.12244897959183676
