date_local,orb,direction,entry_ts,entry_price,stop_price,target_price,stop_ticks,orb_range_ticks,outcome,r_multiple,entry_delay_bars,mae_r,mfe_r,close_confirmations,rr,sl_mode,buffer_ticks
2024-04-12,1800,DOWN,2024-04-12 18:10:00,2413.9,2416.8500000000004,2408.1,29.50000000000273,29.00000000000091,LOSS,-1.017241379310407,1,1.0847457627117023,0.10169491525428954,1,2.0,half,0.0
2024-04-15,1800,UP,2024-04-15 18:10:00,2370.5,2367.25,2378.2999999999993,32.5,38.99999999999636,LOSS,-0.8333333333334111,1,1.0461538461538742,0.46153846153846156,1,2.0,half,0.0
2024-04-16,1800,UP,2024-04-16 18:10:00,2384.4,2383.0,2389.1999999999994,14.00000000000091,23.999999999996362,WIN,2.0,1,0.5000000000001624,3.6428571428568413,1,2.0,half,0.0
2024-04-17,1800,UP,2024-04-17 18:15:00,2402.0,2400.25,2407.3999999999996,17.5,26.99999999999818,WIN,2.0,2,0.5714285714285714,3.085714285714338,1,2.0,half,0.0
2024-04-18,1800,UP,2024-04-18 18:10:00,2394.1,2393.05,2397.5000000000005,10.499999999997272,17.00000000000273,LOSS,-0.6176470588232698,1,1.0476190476192333,0.9523809523811999,1,2.0,half,0.0
2024-04-19,1800,DOWN,2024-04-19 18:15:00,2396.2,2399.1,2392.2,29.00000000000091,20.0,LOSS,-1.4500000000000455,2,1.620689655172457,1.3103448275860716,1,2.0,half,0.0
2024-04-22,1800,DOWN,2024-04-22 18:15:00,2372.5,2375.1499999999996,2366.3,26.499999999996362,30.99999999999909,LOSS,-0.8548387096773271,2,1.1320754716982686,0.2264150943396194,1,2.0,half,0.0
2024-04-23,1800,DOWN,2024-04-23 18:30:00,2318.6,2321.0,2311.399999999999,24.00000000000091,36.00000000000364,WIN,2.0,5,0.12500000000007105,3.8749999999997393,1,2.0,half,0.0
2024-04-24,1800,DOWN,2024-04-24 18:10:00,2330.7,2333.95,2326.5,32.5,20.99999999999909,WIN,2.0,1,0.6153846153846154,1.3846153846153846,1,2.0,half,0.0
2024-04-25,1800,DOWN,2024-04-25 19:30:00,2337.2,2338.8,2331.2,16.000000000003638,30.0,LOSS,-0.5333333333334546,17,1.062499999999929,0.0,1,2.0,half,0.0
2024-04-26,1800,DOWN,2024-04-26 18:20:00,2356.7,2359.8,2345.8999999999996,31.000000000003638,54.00000000000091,LOSS,-0.5740740740741318,3,1.032258064516096,0.09677419354828773,1,2.0,half,0.0
2024-04-29,1800,DOWN,2024-04-29 18:10:00,2347.9,2348.85,2344.9,9.499999999998181,15.0,LOSS,-0.6333333333332121,1,2.0000000000004787,0.3157894736844625,1,2.0,half,0.0
2024-04-30,1800,DOWN,2024-04-30 18:10:00,2327.2,2328.2,2323.6000000000004,10.0,17.99999999999727,WIN,2.0,1,0.0,5.0,1,2.0,half,0.0
2024-05-01,1800,DOWN,2024-05-01 18:15:00,2294.7,2296.3999999999996,2289.8999999999996,16.99999999999818,24.00000000000091,LOSS,-0.7083333333332307,2,1.0000000000002676,0.294117647058855,1,2.0,half,0.0
2024-05-02,1800,DOWN,2024-05-02 18:10:00,2316.9,2319.2,2314.1,22.99999999999727,14.00000000000091,WIN,2.0,1,0.2608695652173827,1.5217391304349632,1,2.0,half,0.0
2024-05-03,1800,UP,2024-05-03 18:45:00,2310.2,2308.35,2315.5999999999995,18.49999999999909,26.99999999999818,LOSS,-0.6851851851851977,8,1.0270270270268809,0.3783783783785445,1,2.0,half,0.0
2024-05-06,1800,DOWN,2024-05-06 18:10:00,2329.4,2330.75,2325.1999999999994,13.49999999999909,21.000000000003638,WIN,2.0,1,0.7407407407407907,3.7037037037039533,1,2.0,half,0.0
2024-05-07,1800,DOWN,2024-05-07 18:10:00,2322.3,2327.7,2319.8999999999996,53.99999999999636,12.000000000002728,WIN,2.0,1,0.5925925925925988,0.7407407407407907,1,2.0,half,0.0
2024-05-08,1800,UP,2024-05-08 18:40:00,2315.0,2313.1,2321.3999999999996,19.00000000000091,31.99999999999818,WIN,2.0,7,0.15789473684219343,3.3684210526314655,1,2.0,half,0.0
2024-05-09,1800,UP,2024-05-09 18:10:00,2318.6,2316.3,2321.7999999999997,22.99999999999727,15.99999999999909,LOSS,-1.4374999999999112,1,1.0434782608697286,0.6086956521740248,1,2.0,half,0.0
2024-05-10,1800,UP,2024-05-10 18:15:00,2375.4,2373.7,2379.8000000000006,17.00000000000273,22.00000000000273,WIN,2.0,2,0.6470588235292544,3.0588235294111668,1,2.0,half,0.0
2024-05-13,1800,DOWN,2024-05-13 18:15:00,2354.1,2354.95,2351.1,8.49999999999909,15.0,WIN,2.0,2,0.117647058823435,5.52941176470626,1,2.0,half,0.0
2024-05-14,1800,UP,2024-05-14 18:40:00,2346.6,2344.45,2350.4,21.50000000000091,19.00000000000091,WIN,2.0,7,0.3255813953487388,2.465116279069748,1,2.0,half,0.0
2024-05-15,1800,UP,2024-05-15 18:10:00,2369.7,2368.45,2372.2999999999993,12.5,12.999999999997272,WIN,2.0,1,0.5599999999998545,2.2400000000001454,1,2.0,half,0.0
2024-05-16,1800,DOWN,2024-05-16 18:10:00,2393.3,2394.3999999999996,2390.1000000000004,10.999999999994543,15.99999999999909,WIN,2.0,1,0.0,3.000000000001654,1,2.0,half,0.0
2024-05-17,1800,DOWN,2024-05-17 18:10:00,2386.3,2388.25,2384.500000000001,19.49999999999818,8.999999999996362,LOSS,-2.16666666666734,1,1.1794871794871495,0.0,1,2.0,half,0.0
2024-05-20,1800,DOWN,2024-05-20 18:35:00,2442.1,2445.25,2431.899999999999,31.50000000000091,51.00000000000364,LOSS,-0.6176470588235032,6,1.5238095238095375,0.3809523809523122,1,2.0,half,0.0
2024-05-21,1800,DOWN,2024-05-21 18:10:00,2421.0,2423.1,2417.3999999999996,20.99999999999909,18.00000000000182,LOSS,-1.1666666666664982,1,1.0,1.4285714285714903,1,2.0,half,0.0
2024-05-22,1800,DOWN,2024-05-22 18:10:00,2419.0,2420.3,2416.5999999999995,13.000000000001819,12.000000000002728,WIN,2.0,1,0.3846153846153308,2.461538461537977,1,2.0,half,0.0
2024-05-23,1800,DOWN,2024-05-23 18:15:00,2357.4,2358.8,2353.4,14.00000000000091,20.0,LOSS,-0.7000000000000455,2,1.2857142857140074,0.2857142857143321,1,2.0,half,0.0
2024-05-24,1800,UP,2024-05-24 18:10:00,2339.7,2338.0,2342.9000000000005,16.99999999999818,16.000000000003638,LOSS,-1.0624999999996447,1,1.2352941176471375,0.0,1,2.0,half,0.0
2024-05-27,1800,UP,2024-05-27 18:10:00,2342.6,2339.75,2344.399999999999,28.49999999999909,8.999999999996362,WIN,2.0,1,0.035087719298214824,0.7017543859649347,1,2.0,half,0.0
2024-05-28,1800,DOWN,2024-05-28 18:10:00,2341.3,2344.95,2337.8999999999996,36.49999999999636,17.00000000000273,LOSS,-2.147058823528853,1,1.205479452054815,0.16438356164395168,1,2.0,half,0.0
2024-05-29,1800,DOWN,2024-05-29 18:20:00,2349.2,2351.25,2344.999999999999,20.50000000000182,21.000000000003638,WIN,2.0,3,0.19512195121953924,2.6341463414630035,1,2.0,half,0.0
2024-05-30,1800,DOWN,2024-05-30 18:10:00,2353.9,2356.0,2351.5000000000005,20.99999999999909,11.999999999998181,LOSS,-1.7500000000001894,1,1.1428571428572356,0.3333333333334777,1,2.0,half,0.0
2024-05-31,1800,UP,2024-05-31 18:15:00,2363.1,2361.35,2366.1,17.5,15.0,WIN,2.0,2,0.6857142857141818,1.7714285714285194,1,2.0,half,0.0
2024-06-03,1800,UP,2024-06-03 18:10:00,2347.9,2346.15,2350.5000000000005,17.5,13.000000000001819,LOSS,-1.3461538461536577,1,1.0857142857143376,0.0,1,2.0,half,0.0
2024-06-04,1800,DOWN,2024-06-04 18:10:00,2355.1,2358.1,2348.7000000000003,30.0,31.99999999999818,WIN,2.0,1,0.6666666666666666,2.8333333333333335,1,2.0,half,0.0
2024-06-05,1800,UP,2024-06-05 18:10:00,2354.1,2351.45,2357.9,26.50000000000091,19.00000000000091,LOSS,-1.3947368421052442,1,1.3207547169810867,0.22641509433958054,1,2.0,half,0.0
2024-06-06,1800,DOWN,2024-06-06 18:15:00,2380.2,2381.25,2377.999999999999,10.500000000001819,11.000000000003638,LOSS,-0.9545454545453043,2,1.5238095238096063,0.3809523809519685,1,2.0,half,0.0
2024-06-10,1800,UP,2024-06-10 18:10:00,2314.1,2313.45,2316.2999999999997,6.5000000000009095,10.99999999999909,LOSS,-0.5909090909092225,1,1.5384615384613232,0.4615384615386768,1,2.0,half,0.0
2024-06-11,1800,UP,2024-06-11 18:10:00,2322.9,2321.1000000000004,2326.1,17.99999999999727,15.99999999999909,LOSS,-1.1249999999998934,1,1.1111111111112795,0.8888888888889731,1,2.0,half,0.0
2024-06-12,1800,DOWN,2024-06-12 18:25:00,2329.9,2331.7,2326.7000000000003,17.99999999999727,15.99999999999909,LOSS,-1.1249999999998934,4,1.2222222222223065,1.2222222222225592,1,2.0,half,0.0
2024-06-13,1800,DOWN,2024-06-13 18:10:00,2331.4,2332.4,2329.7999999999997,10.0,8.000000000001819,WIN,2.0,1,0.599999999999909,1.900000000000091,1,2.0,half,0.0
2024-06-14,1800,UP,2024-06-14 18:10:00,2335.5,2331.95,2343.3,35.50000000000182,39.00000000000091,LOSS,-0.9102564102564357,1,1.0985915492957439,0.140845070422528,1,2.0,half,0.0
2024-06-17,1800,UP,2024-06-17 18:10:00,2334.6,2331.85,2337.9999999999995,27.5,16.99999999999818,LOSS,-1.6176470588237024,1,1.0545454545454875,1.0181818181818842,1,2.0,half,0.0
2024-06-18,1800,DOWN,2024-06-18 18:10:00,2328.0,2329.25,2325.3999999999996,12.5,13.000000000001819,LOSS,-0.961538461538327,1,1.0400000000001455,0.47999999999992726,1,2.0,half,0.0
2024-06-19,1800,UP,2024-06-19 18:10:00,2349.1,2347.7,2353.1,14.00000000000091,20.0,LOSS,-0.7000000000000455,1,1.4285714285713358,0.4285714285713358,1,2.0,half,0.0
2024-06-20,1800,DOWN,2024-06-20 18:10:00,2347.7,2350.95,2342.7,32.5,25.0,LOSS,-1.3,1,1.0153846153846713,0.7999999999999721,1,2.0,half,0.0
2024-06-21,1800,UP,2024-06-21 18:20:00,2379.4,2377.6,2385.0000000000005,18.00000000000182,28.00000000000182,LOSS,-0.6428571428571661,3,1.0,1.3888888888887485,1,2.0,half,0.0
2024-06-24,1800,DOWN,2024-06-24 18:10:00,2343.1,2344.0,2339.899999999999,9.00000000000091,16.000000000003638,LOSS,-0.562499999999929,1,1.4444444444445006,1.2222222222219976,1,2.0,half,0.0
2024-06-25,1800,UP,2024-06-25 18:10:00,2338.8,2336.1,2343.2,27.00000000000273,21.99999999999818,WIN,2.0,1,0.8148148148148335,1.7407407407404976,1,2.0,half,0.0
2024-06-26,1800,DOWN,2024-06-26 18:10:00,2325.2,2327.0,2321.2,18.00000000000182,20.0,LOSS,-0.900000000000091,1,1.0555555555554994,0.44444444444424797,1,2.0,half,0.0
2024-06-27,1800,UP,2024-06-27 18:15:00,2315.0,2313.3500000000004,2318.8,16.499999999996362,19.00000000000091,WIN,2.0,2,0.9090909090911096,2.3636363636369397,1,2.0,half,0.0
2024-06-28,1800,UP,2024-06-28 18:10:00,2339.1,2337.6,2341.1,15.0,10.0,WIN,2.0,1,0.39999999999993935,2.3333333333333335,1,2.0,half,0.0
2024-07-01,1800,UP,2024-07-01 18:25:00,2334.5,2333.1499999999996,2338.3,13.500000000003638,19.00000000000091,WIN,2.0,4,0.6666666666665544,3.4814814814804085,1,2.0,half,0.0
2024-07-02,1800,UP,2024-07-02 18:15:00,2341.2,2340.0,2343.2,11.999999999998181,10.0,LOSS,-1.199999999999818,2,1.4166666666667298,0.08333333333364913,1,2.0,half,0.0
2024-07-03,1800,DOWN,2024-07-03 18:40:00,2354.4,2355.55,2350.6,11.50000000000091,19.00000000000091,LOSS,-0.6052631578947557,7,1.3043478260868533,2.4347826086956177,1,2.0,half,0.0
2024-07-04,1800,UP,2024-07-04 18:10:00,2366.8,2365.95,2369.3999999999996,8.500000000003638,12.999999999997272,LOSS,-0.653846153846571,1,1.4117647058820697,0.0,1,2.0,half,0.0
